before;after;filename;info;rating1;rating2
org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 09-27-53_before.png;org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 09-27-53_after.png;2022-01-06 09-27-53;texto desapareceu;Texto;True Positive
org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 09-32-03_before.png;org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 09-32-03_after.png;2022-01-06 09-32-03;descoloração da imagem;Atualização da tela;False Positive
org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 09-34-13_before.png;org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 09-34-13_after.png;2022-01-06 09-34-13;variável foco mudou de true para false;Propriedades;True Positive
org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 09-43-22_before.png;org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 09-43-22_after.png;2022-01-06 09-43-22;variável foco mudou de true para false;Propriedades;True Positive
org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 09-48-44_before.png;org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 09-48-44_after.png;2022-01-06 09-48-44;texto desapareceu;Texto;True Positive
org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 09-55-20_before.png;org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 09-55-20_after.png;2022-01-06 09-55-20;variável foco mudou de true para false;Propriedades;True Positive
org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 10-00-06_before.png;org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 10-00-06_after.png;2022-01-06 10-00-06;texto desapareceu;Texto;True Positive
org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 10-14-04_before.png;org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 10-14-04_after.png;2022-01-06 10-14-04;variável foco mudou de true para false;Propriedades;True Positive
org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 10-41-54_before.png;org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 10-41-54_after.png;2022-01-06 10-41-54;texto desapareceu;Texto;True Positive
org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 10-50-07_before.png;org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 10-50-07_after.png;2022-01-06 10-50-07;texto desapareceu;Texto;True Positive
org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 10-54-42_before.png;org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 10-54-42_after.png;2022-01-06 10-54-42;texto desapareceu;Texto;True Positive
org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 10-59-42_before.png;org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 10-59-42_after.png;2022-01-06 10-59-42;variável foco mudou de true para false;Propriedades;True Positive
org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 11-09-43_before.png;org.secuso.privacyfriendlyweather_14/dataloss/TutorialActivity/2022-01-06 11-09-43_after.png;2022-01-06 11-09-43;variável foco mudou de true para false;Propriedades;True Positive
org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 06-32-54_before.png;org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 06-32-54_after.png;2022-01-19 06-32-54;menu pop up desapareceu;Menu popup Aplicativo;True Positive
org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 06-33-20_before.png;org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 06-33-20_after.png;2022-01-19 06-33-20;fragmento desapareceu;Fragmento;True Positive
org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 07-08-50_before.png;org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 07-08-50_after.png;2022-01-19 07-08-50;menu pop up desapareceu;Menu popup Aplicativo;True Positive
org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 07-10-15_before.png;org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 07-10-15_after.png;2022-01-19 07-10-15;menu pop up desapareceu;Menu popup Aplicativo;True Positive
org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 07-50-06_before.png;org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 07-50-06_after.png;2022-01-19 07-50-06;menu pop up desapareceu;Menu popup Aplicativo;True Positive
org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 07-57-35_before.png;org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 07-57-35_after.png;2022-01-19 07-57-35;menu pop up desapareceu;Menu popup Aplicativo;True Positive
org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 08-26-40_before.png;org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 08-26-40_after.png;2022-01-19 08-26-40;menu pop up desapareceu;Menu popup Aplicativo;True Positive
org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 08-36-54_before.png;org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 08-36-54_after.png;2022-01-19 08-36-54;fragmento desapareceu;Fragmento;True Positive
org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 09-14-24_before.png;org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 09-14-24_after.png;2022-01-19 09-14-24;menu pop up desapareceu;Menu popup Aplicativo;True Positive
org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 09-21-49_before.png;org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 09-21-49_after.png;2022-01-19 09-21-49;menu pop up desapareceu;Menu popup Aplicativo;True Positive
org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 09-26-23_before.png;org.softcatala.traductor_39/dataloss/TraductorSoftcatalaActivity/2022-01-19 09-26-23_after.png;2022-01-19 09-26-23;menu pop up desapareceu;Menu popup Aplicativo;True Positive
org.unifiedpush.distributor.noprovider2push_7/dataloss/SettingsActivity/2022-01-09 06-25-36_before.png;org.unifiedpush.distributor.noprovider2push_7/dataloss/SettingsActivity/2022-01-09 06-25-36_after.png;2022-01-09 06-25-36;menu pop up desaparece;Menu popup Aplicativo;True Positive
org.unifiedpush.distributor.noprovider2push_7/dataloss/SettingsActivity/2022-01-09 08-53-40_before.png;org.unifiedpush.distributor.noprovider2push_7/dataloss/SettingsActivity/2022-01-09 08-53-40_after.png;2022-01-09 08-53-40;menu pop up desaparece;Menu popup Aplicativo;True Positive
org.wikipedia_50374/dataloss/ConfigureActivity/2021-11-04 21-40-40_before.png;org.wikipedia_50374/dataloss/ConfigureActivity/2021-11-04 21-40-40_after.png;2021-11-04 21-40-40;Janela de configurações desapareceu;Fragmento;True Positive
org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 18-27-56_before.png;org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 18-27-56_after.png;2021-11-04 18-27-56;diferença entre propriedades  u'\u2022\u2022\u2022\u2022' 2 vezes;Propriedades;True Positive
org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 18-28-23_before.png;org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 18-28-23_after.png;2021-11-04 18-28-23;diferença entre propriedades  u'\u2022\u2022\u2022\u2022' 2 vezes;Propriedades;True Positive
org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 18-31-42_before.png;org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 18-31-42_after.png;2021-11-04 18-31-42;diferença entre propriedades  u'\u2022\u2022\u2022\u2022';Propriedades;True Positive
org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 18-32-32_before.png;org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 18-32-32_after.png;2021-11-04 18-32-32;diferença entre propriedades  u'\u2022\u2022\u2022\u2022';Propriedades;True Positive
org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 18-33-04_before.png;org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 18-33-04_after.png;2021-11-04 18-33-04;diferença entre propriedades  u'\u2022\u2022\u2022\u2022';Propriedades;True Positive
org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 18-33-39_before.png;org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 18-33-39_after.png;2021-11-04 18-33-39;diferença entre propriedades  u'\u2022\u2022\u2022\u2022';Propriedades;True Positive
org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 19-47-58_before.png;org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 19-47-58_after.png;2021-11-04 19-47-58;diferença entre propriedades  u'\u2022\u2022\u2022\u2022' 2 vezes;Propriedades;True Positive
org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 20-46-54_before.png;org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 20-46-54_after.png;2021-11-04 20-46-54;diferença entre propriedades  u'\u2022\u2022\u2022\u2022' 2 vezes;Propriedades;True Positive
org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 20-52-32_before.png;org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 20-52-32_after.png;2021-11-04 20-52-32;diferença entre propriedades  u'\u2022\u2022\u2022\u2022' 2 vezes;Propriedades;True Positive
org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 21-48-53_before.png;org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 21-48-53_after.png;2021-11-04 21-48-53;menu pop up colar;Menu popup Android;True Positive
org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 22-06-16_before.png;org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 22-06-16_after.png;2021-11-04 22-06-16;teclado;Teclado;False Positive
org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 22-35-52_before.png;org.wikipedia_50374/dataloss/CreateAccountActivity/2021-11-04 22-35-52_after.png;2021-11-04 22-35-52;diferença entre propriedades  u'\u2022\u2022\u2022\u2022';Propriedades;True Positive
org.wikipedia_50374/dataloss/InitialOnboardingActivity/2021-11-04 18-20-55_before.png;org.wikipedia_50374/dataloss/InitialOnboardingActivity/2021-11-04 18-20-55_after.png;2021-11-04 18-20-55;diferença entre propriedades;Propriedades;True Positive
org.wikipedia_50374/dataloss/LoginActivity/2021-11-04 18-35-57_before.png;org.wikipedia_50374/dataloss/LoginActivity/2021-11-04 18-35-57_after.png;2021-11-04 18-35-57;teclado e cursor;Teclado;False Positive
org.wikipedia_50374/dataloss/LoginActivity/2021-11-04 18-36-17_before.png;org.wikipedia_50374/dataloss/LoginActivity/2021-11-04 18-36-17_after.png;2021-11-04 18-36-17;teclado movimentou;Teclado;False Positive
org.wikipedia_50374/dataloss/LoginActivity/2021-11-04 18-48-09_before.png;org.wikipedia_50374/dataloss/LoginActivity/2021-11-04 18-48-09_after.png;2021-11-04 18-48-09;teclado movimentou;Teclado;False Positive
org.wikipedia_50374/dataloss/LoginActivity/2021-11-04 20-24-28_before.png;org.wikipedia_50374/dataloss/LoginActivity/2021-11-04 20-24-28_after.png;2021-11-04 20-24-28;teclado movimentou;Teclado;False Positive
org.wikipedia_50374/dataloss/MainActivity/2021-11-04 18-21-21_before.png;org.wikipedia_50374/dataloss/MainActivity/2021-11-04 18-21-21_after.png;2021-11-04 18-21-21;provavelmente mensagem temporária;Toast;False Positive
org.wikipedia_50374/dataloss/MainActivity/2021-11-04 18-27-07_before.png;org.wikipedia_50374/dataloss/MainActivity/2021-11-04 18-27-07_after.png;2021-11-04 18-27-07;provavelmente mensagem temporária;Toast;False Positive
org.wikipedia_50374/dataloss/MainActivity/2021-11-04 18-37-45_before.png;org.wikipedia_50374/dataloss/MainActivity/2021-11-04 18-37-45_after.png;2021-11-04 18-37-45;fragmento informação desapareceu;Fragmento;True Positive
org.wikipedia_50374/dataloss/MainActivity/2021-11-04 18-38-04_before.png;org.wikipedia_50374/dataloss/MainActivity/2021-11-04 18-38-04_after.png;2021-11-04 18-38-04;menu popup aplicativo;Menu popup Aplicativo;True Positive
org.wikipedia_50374/dataloss/MainActivity/2021-11-04 18-51-41_before.png;org.wikipedia_50374/dataloss/MainActivity/2021-11-04 18-51-41_after.png;2021-11-04 18-51-41;pesquisa e texto desaparece;Texto;True Positive
org.wikipedia_50374/dataloss/MainActivity/2021-11-04 19-53-34_before.png;org.wikipedia_50374/dataloss/MainActivity/2021-11-04 19-53-34_after.png;2021-11-04 19-53-34;pesquisa e texto desaparece;Texto;True Positive
org.wikipedia_50374/dataloss/MainActivity/2021-11-04 20-26-41_before.png;org.wikipedia_50374/dataloss/MainActivity/2021-11-04 20-26-41_after.png;2021-11-04 20-26-41;renderização da tela;Atualização da tela;False Positive
org.wikipedia_50374/dataloss/MainActivity/2021-11-04 20-37-35_before.png;org.wikipedia_50374/dataloss/MainActivity/2021-11-04 20-37-35_after.png;2021-11-04 20-37-35;renderização da tela;Atualização da tela;False Positive
org.wikipedia_50374/dataloss/MainActivity/2021-11-04 20-52-18_before.png;org.wikipedia_50374/dataloss/MainActivity/2021-11-04 20-52-18_after.png;2021-11-04 20-52-18;renderização da tela;Atualização da tela;False Positive
